id,submission_id,question_id,answer_raw,answer_score,answer_text_en,answer_text_fr,is_list
1,3,PD-01,Various Stakeholders at IRCC,,Various Stakeholders at IRCC,Divers intervenants à IRCC,false
2,3,PD-02,N/A,,N/A,S. o.,false
3,3,PD-03,050,,050,,false
4,3,PD-04,Various Branches at IRCC,,Various Branches at IRCC,Diverses directions générales à IRCC,false
5,3,PD-05,Advanced Analytics Triage of Visitor Record Applications,,Advanced Analytics Triage of Visitor Record Applications,Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,false
6,3,PD-06,N/A,,N/A,S. o.,false
7,3,PD-07,Visitors,,Visitors,Visiteurs,false
8,3,PD-08,item2,,,,false
9,3,PD-09,"This project seeks to streamline the eligibility assessment for all visitor record applications in order to help IRCC decision-makers process applications more efficiently. The advanced data analytics system identifies routine applications for streamlined processing. When the system finds these applications, it can decide that an applicant is eligible, before sending the file to an officer to decide if the applicant remains admissible to Canada and make the final decision. To do this, it uses a mix of rules developed with IRCC officers and rules generated through machine learning based on previous IRCC case data. All rules are assessed for potential bias or discrimination.

For all other cases that are not considered routine, the tool helps to sort and assign cases to officers for manual review and decisions based on their level of complexity, using rules and criteria developed with IRCC officers. This means that these cases will be processed using the same process that was used before IRCC began using this new system. It will also provide case annotations, or notes for officers, which summarize basic application information for the officer to support faster processing. Officers still perform a full individual assessment of each application and its supporting documents.

The tool never refuses or recommends refusing applications. IRCC officers make the final decision to approve or refuse on all applications.

The tool is expected to result in faster processing times for all applications. 

Visitor records are one of IRCC’s most straightforward services. These applications are considered low impact, as clients are not applying for refugee status, permanent residence or citizenship, and are not entitled to study or work in Canada.",,"This project seeks to streamline the eligibility assessment for all visitor record applications in order to help IRCC decision-makers process applications more efficiently. The advanced data analytics system identifies routine applications for streamlined processing. When the system finds these applications, it can decide that an applicant is eligible, before sending the file to an officer to decide if the applicant remains admissible to Canada and make the final decision. To do this, it uses a mix of rules developed with IRCC officers and rules generated through machine learning based on previous IRCC case data. All rules are assessed for potential bias or discrimination.

For all other cases that are not considered routine, the tool helps to sort and assign cases to officers for manual review and decisions based on their level of complexity, using rules and criteria developed with IRCC officers. This means that these cases will be processed using the same process that was used before IRCC began using this new system. It will also provide case annotations, or notes for officers, which summarize basic application information for the officer to support faster processing. Officers still perform a full individual assessment of each application and its supporting documents.

The tool never refuses or recommends refusing applications. IRCC officers make the final decision to approve or refuse on all applications.

The tool is expected to result in faster processing times for all applications. 

Visitor records are one of IRCC’s most straightforward services. These applications are considered low impact, as clients are not applying for refugee status, permanent residence or citizenship, and are not entitled to study or work in Canada.","Ce projet vise à simplifier l’évaluation de la recevabilité pour toutes les demandes de fiche de visiteurs afin d’aider les décideurs d’IRCC à traiter les demandes plus efficacement. Le système avancé d’analyse de données identifie les demandes de routine pour un traitement rationalisé. Lorsque le système trouve ces demandes, il peut décider qu’un demandeur est recevable, avant d’envoyer le dossier à un agent pour décider si le demandeur est interdit de territoire et prendre la décision finale. Pour ce faire, il utilise un mélange de règles élaborées avec les agents d’IRCC et de règles générées par l’apprentissage automatique basé sur des données de cas antérieurs d’IRCC. Toutes les règles sont évaluées pour détecter tout biais ou discrimination potentiels. 

Pour tous les autres cas qui ne sont pas considérés comme routiniers, l’outil aide à trier et à assigner les demandes aux agents pour un examen manuel et les décisions en fonction de leur niveau de complexité, en utilisant des règles et des critères élaborés avec les agents d’IRCC. Cela signifie que ces demandes seront traitées selon le même processus qu’avant qu’IRCC ne commence à utiliser ce nouveau système. Il fournira également des annotations de cas, ou des notes à l’intention des agents, qui résument certains renseignements de base contenus dans la demande pour l’agent afin d’accélérer le traitement. Les agents procèdent toujours à une évaluation individuelle complète de chaque demande et de ses pièces justificatives.  

L’outil ne refuse ni ne recommande jamais de refuser des demandes. Les agents d’IRCC prennent la décision finale d’approuver ou de refuser toutes les demandes.  

L’outil devrait entraîner des temps de traitement plus rapides pour toutes les demandes.   

Les fiches des visiteurs sont l’un des services les plus simples d’IRCC. Ces demandes sont considérées comme ayant un faible impact, car les clients ne demandent pas le statut de réfugié, la résidence permanente ou la citoyenneté, et n’ont pas le droit d’étudier ou de travailler au Canada.",false
10,3,PD-10,item5,,,,true
11,3,IA-01,"item1,item5,item6",,,,true
12,3,IA-02,"Facilitate more efficient use of IRCC resources in the application processing, assist in managing the growing volume of applications, improve processing times, and identify complex cases.",,"Facilitate more efficient use of IRCC resources in the application processing, assist in managing the growing volume of applications, improve processing times, and identify complex cases.","Faciliter l’utilisation plus efficace des ressources d’IRCC dans le traitement des demandes, aider à gérer le nombre croissant de demandes, et améliorer les délais de traitement et l’identification de cas complexes.",false
13,3,IA-13,item1-3,3,,,false
14,3,IA-14,item2-0,0,,,false
15,3,IA-15,item2-0,0,,,false
16,3,IA-16,item2-0,0,,,false
17,3,IA-18,item2-0,0,,,false
18,3,IA-19,item2-0,0,,,false
19,3,IA-20,item2-0,0,,,false
20,3,IA-21,Immigration services,,Immigration services,Services d’immigration,false
